time phi1_2 psi1_2 omega1_2 phi1_3 psi1_3
2090.0 1.228236 -2.475284 -3.015896 -1.622325 -3.058289
2100.0 1.249025 -2.602785 -2.689732 -1.225555 -2.002288
2110.0 1.169779 -3.066521 -3.047889 -1.434217 2.823887
2120.0 0.954642 -2.897707 -2.93291 -1.061772 -2.332532
2130.0 1.066406 2.831717 -2.932986 -1.490223 -3.097545
2140.0 0.782881 2.783036 -3.026606 -1.53908 -2.89406
2150.0 1.135168 -2.974964 -2.835702 -1.526576 -3.061863
2160.0 0.979452 1.985857 -2.964214 -1.533924 3.122481
2170.0 1.452497 -2.854636 -2.749268 -1.689291 3.064074
2180.0 1.273737 2.484081 -3.126519 -1.281819 3.02375
2190.0 0.96608 2.7105 -2.495745 -1.326668 -2.765226
2200.0 0.786072 2.711414 -2.689323 -1.631364 -3.10457
2210.0 1.222413 -2.774204 -2.968737 -1.264534 -2.538655
2220.0 0.950845 3.07715 1.409617 -1.063105 -2.076633
2230.0 1.275408 -2.711411 -0.786432 -1.204368 -2.701428
2240.0 1.231787 -3.015718 -2.799758 -1.124199 -2.068935
2250.0 1.218629 -2.881413 -2.930578 -1.635405 -3.098938
2260.0 1.034949 -3.041445 -3.006015 -1.501105 3.006398
2270.0 1.174937 -3.084076 -0.819096 -1.282573 3.08023
2280.0 1.209383 -3.06112 0.994002 -1.100315 -2.118755
2290.0 0.880041 -3.112236 -2.931439 -1.401928 -2.85414
2300.0 0.868388 -2.706826 -2.926196 -0.938911 -1.797936
2310.0 1.318251 -3.09409 -2.686376 -1.458614 -2.63417
2320.0 1.038319 -2.933322 3.086419 -1.207279 -2.487204
2330.0 1.22132 -2.760276 -2.971733 -1.09421 -2.52341
2340.0 0.926844 -2.97755 -2.865359 -0.927645 -2.319287
2350.0 0.881974 -2.897777 -3.005345 -1.23339 -2.425204
2360.0 0.998958 -2.973802 -3.00038 -0.964313 -2.587883
2370.0 0.999088 2.633007 -1.1222 -0.709545 -2.387245
2380.0 0.849121 3.125225 -2.961831 -0.995697 -1.853211
2390.0 1.031765 3.036882 0.893386 -1.110884 -2.634546
2400.0 0.683966 3.054822 1.101088 -1.051903 -2.156903
2410.0 1.253526 -3.017756 -3.089404 -1.312729 -3.103258
2420.0 0.799568 3.134848 -2.925517 -1.185783 -1.904416
2430.0 0.774937 2.896509 1.136941 -1.196102 -3.007044
2440.0 1.190183 -3.062874 3.070391 -1.035741 -1.818326
2450.0 1.004187 -3.126838 -2.768224 -0.894568 -2.303061
2460.0 1.244884 -2.839239 -3.020532 -1.115843 -2.194633
2470.0 0.973147 -2.950929 -3.081599 -1.15073 -1.93605
2480.0 1.008822 -2.799876 1.265075 -1.283624 -2.573759
2490.0 0.668154 -3.002183 1.320287 -0.971533 -2.489763
2500.0 0.969208 -2.886731 0.993993 -1.201191 -2.377053
2510.0 1.094466 -2.896464 -2.909688 -1.223406 -2.261432
2520.0 1.029416 2.821816 1.058378 -1.038219 -2.720879
2530.0 0.991145 -2.957304 1.168586 -1.07734 -2.748901
2540.0 1.303185 -3.048054 -2.855267 -0.950738 -1.943292
2550.0 0.997829 -2.621913 -2.850451 -0.99556 -2.250389
2560.0 0.919249 3.108791 1.030429 -1.44215 -2.568042
2570.0 0.976734 -2.82851 1.108647 -1.598469 -2.847568
2580.0 1.242248 3.031193 1.551545 -1.401754 3.052223
2590.0 0.971897 -2.857957 1.152064 -1.509083 -2.832912
2600.0 1.024015 -2.914142 -2.979339 -1.220566 -2.580183
2610.0 1.016911 3.140675 1.089596 -1.333835 -2.979227
2620.0 1.16823 -3.100222 -3.062265 -1.140811 -2.591484
2630.0 1.041051 -2.840556 1.008191 -1.294494 -2.55479
2640.0 1.197062 -2.518384 0.909203 -1.095972 -2.349624
2650.0 0.959539 -3.116832 0.869981 -1.103974 -2.13976
2660.0 1.17488 -2.652516 1.089238 -0.93477 -2.261282
2670.0 0.819687 2.892624 -1.035608 -1.348329 -2.621813
2680.0 1.252197 -3.136193 -0.703235 -1.243472 -2.751653
2690.0 1.113191 -2.655438 -0.764221 -1.165439 -2.482144
2700.0 1.120718 -2.835551 -0.744311 -1.232163 -2.591422
2710.0 1.106252 -2.913292 1.237089 -0.967132 -2.331526
2720.0 0.84963 -3.105559 1.064072 -1.179035 -1.915517
2730.0 0.811381 -3.023982 3.119409 -1.350286 -2.480563
2740.0 1.053103 -3.1125 3.126569 -0.971179 -2.356094
2750.0 1.09803 -2.801141 -2.830936 -0.990981 -2.368846
2760.0 0.910427 -3.069702 1.260237 -1.307124 -2.464089
2770.0 0.993828 -2.972469 0.99049 -1.0247 -2.338056
2780.0 1.206003 -2.878498 -0.956632 -1.198247 -3.047254
2790.0 0.853518 3.066469 0.972307 -1.247509 -1.826633
2800.0 1.053249 -2.926403 -3.124817 -1.218004 -1.732485
2810.0 1.500258 -2.854397 -1.148654 -1.280623 -2.13522
2820.0 1.028858 -3.079739 -0.895723 -1.203116 -1.764939
2830.0 1.08565 -2.89679 -2.959088 -1.017061 -2.366288
2840.0 1.257017 -2.686569 -0.956878 -1.257181 -1.746468
2850.0 0.968346 2.930164 1.112693 -1.241932 -1.940297
2860.0 1.293516 -2.824412 -0.864908 -1.152105 -2.197647
2870.0 0.67327 2.987287 -3.007265 -1.322434 -2.371314
2880.0 -0.631796 -3.066454 1.20262 -1.223506 -2.653534
2890.0 1.089111 -3.024928 0.919563 -1.062614 -2.667874
2900.0 0.699795 -3.06136 0.989012 -1.228893 -2.446136
2910.0 1.103491 2.595954 -1.057461 -1.280538 -2.758367
2920.0 1.233793 2.73073 -0.952174 -1.376462 -2.490049
2930.0 0.960225 3.106608 0.995396 -1.430174 -2.977835
2940.0 1.030011 2.876532 0.993463 -1.497526 3.129874
2950.0 0.422443 2.677312 2.991593 -0.677562 -2.6435
2960.0 0.966649 -2.454189 -0.858625 -1.272395 -2.624178
2970.0 1.181703 -2.856026 -2.979653 -1.219093 -2.2326
2980.0 0.822222 -2.939896 3.083097 -1.303439 -2.699665
