time phi1_2 psi1_2
6560.0 1.299609 -2.98858
6570.0 1.267455 -2.914194
6580.0 1.467111 -2.889235
6590.0 1.343998 -2.994769
6600.0 1.786201 -3.07904
6610.0 0.946837 3.065112
6620.0 1.572084 -3.005416
6630.0 1.475363 3.068478
6640.0 1.190174 -2.919247
6650.0 1.44539 -2.752217
6660.0 1.396103 -2.959203
6670.0 1.144995 -2.962032
6680.0 1.226327 -2.706771
6690.0 0.874386 -2.853889
6700.0 1.37512 -2.735299
6710.0 1.892126 -3.046715
6720.0 1.37445 -3.093417
6730.0 1.393653 -3.010228
6740.0 1.280154 -2.902676
6750.0 1.104537 3.101106
6760.0 1.436321 -2.808033
6770.0 1.283958 -2.786182
6780.0 0.783426 -3.023284
6790.0 1.155677 -2.95622
6800.0 1.409575 -2.783806
6810.0 0.949333 -2.729391
6820.0 1.03082 -2.986311
6830.0 1.464714 -2.842719
6840.0 1.137585 -2.679356
6850.0 0.87987 3.013188
6860.0 1.216309 -2.81114
6870.0 0.890024 -2.93322
6880.0 1.47531 -3.073658
6890.0 1.087147 3.132101
6900.0 1.64743 -2.802057
6910.0 1.690804 -2.761526
6920.0 1.034455 -2.737101
6930.0 1.240005 -2.883807
6940.0 1.154684 -2.770584
6950.0 1.41376 -2.696775
6960.0 1.193589 -2.857288
6970.0 1.143392 -2.933874
6980.0 1.16513 -2.8429
6990.0 1.383158 -3.05733
7000.0 1.43193 -2.797384
7010.0 0.849703 -2.743696
7020.0 1.213453 -2.940488
7030.0 0.957225 -2.928806
7040.0 1.015711 -2.774778
7050.0 0.987327 -2.745277
7060.0 0.862704 -3.128464
7070.0 1.179344 -2.882402
7080.0 0.938496 -2.987317
7090.0 1.274713 -3.024896
7100.0 1.012053 -2.927906
7110.0 1.090754 -2.951802
7120.0 0.784472 -2.815987
7130.0 1.03131 -2.713658
7140.0 1.02604 -3.140063
7150.0 0.799458 -2.855616
7160.0 0.975613 -3.049639
7170.0 1.291246 2.648702
7180.0 1.586678 -2.985165
7190.0 1.147537 -2.766368
7200.0 0.912463 2.845494
7210.0 1.240665 -2.544127
