time phi1_2 psi1_2 omega1_2
3280.0 1.165317 -3.126323 -2.871683
3290.0 1.51269 3.079686 0.982643
3300.0 0.993198 -3.033939 1.163664
3310.0 0.954138 -2.95275 -1.091415
3320.0 0.913116 -3.025602 1.250949
3330.0 1.137239 -3.014631 1.19295
3340.0 1.308795 -2.927003 -3.017981
3350.0 1.326421 -2.907132 -3.083554
3360.0 1.205784 -2.962711 -2.773156
3370.0 1.1728 -2.582196 -2.921725
3380.0 1.138501 -2.727965 3.054203
3390.0 0.904031 2.945624 -2.8682
3400.0 0.874316 2.810934 -1.14076
3410.0 1.310508 -3.103343 0.99185
3420.0 1.153113 -3.049408 3.075512
3430.0 1.162849 -2.971742 -2.656981
3440.0 0.590496 3.104059 -2.990425
3450.0 1.438452 -3.132704 -3.064189
3460.0 0.762229 -2.740372 -3.064917
3470.0 0.823588 -3.064268 -3.056674
3480.0 1.150397 3.038893 -2.739684
3490.0 0.570168 -3.035636 1.277138
3500.0 1.19772 -2.972868 -3.080968
3510.0 1.041728 -2.801982 -3.003291
3520.0 1.137447 -2.912219 -2.96361
3530.0 0.834159 2.933729 -2.973921
3540.0 1.298664 -2.965499 3.140376
3550.0 1.101696 -2.964922 -3.085672
3560.0 1.232333 -2.981086 3.028267
3570.0 1.016131 -2.779744 -2.909258
3580.0 1.13839 -2.773726 -2.759108
3590.0 1.16843 -3.132577 -3.008294
3600.0 0.903223 2.999953 -3.017837
3610.0 1.108978 1.838773 -3.024637
3620.0 0.944701 -2.89085 3.098389
3630.0 1.116124 -3.122401 -3.05073
3640.0 0.701247 3.037714 -0.822231
3650.0 1.433577 3.130415 -2.854884
3660.0 1.141638 -3.059597 -2.81595
3670.0 1.14048 -2.849116 3.12988
3680.0 1.039661 2.869972 -3.004247
3690.0 1.029148 2.889109 -2.771648
3700.0 1.214123 -2.873902 -2.975474
3710.0 1.232004 -2.896687 -3.023532
3720.0 1.127985 -2.957961 -3.09537
3730.0 1.093188 -3.098282 -2.951705
3740.0 1.186944 -2.965926 -3.027147
3750.0 1.320884 3.055709 -2.530959
3760.0 1.183061 -3.019534 -2.971429
3770.0 1.311035 -2.985962 -2.963595
3780.0 1.045021 2.951847 -2.859739
3790.0 1.115764 -2.992433 -2.868697
3800.0 1.074674 2.97206 -3.027993
3810.0 0.767027 2.632713 -2.861359
3820.0 1.026188 -2.890633 -2.948092
3830.0 0.852458 -2.809009 -3.000014
3840.0 1.115073 -2.851901 -0.947151
3850.0 0.991729 -2.855343 -2.935616
3860.0 1.457197 3.062932 -3.0444
3870.0 0.952983 2.93448 -3.119361
3880.0 1.146341 -2.904268 -2.685967
3890.0 1.399376 3.047987 -2.673255
3900.0 1.33359 -3.115402 -2.757455
3910.0 1.199761 -2.87269 -2.837812
3920.0 0.882294 -2.765398 -1.226876
3930.0 1.094567 -3.091531 -2.771325
3940.0 1.228116 -2.773641 2.856659
3950.0 1.17442 3.023942 -3.110586
3960.0 0.996314 -3.035895 -0.827147
3970.0 0.918773 -2.972841 -0.749934
3980.0 1.200068 -3.106988 -2.766237
3990.0 0.857822 -3.118152 1.095439
4000.0 1.252234 -2.978176 -1.136583
4010.0 -0.599506 2.224743 0.970891
4020.0 1.210591 -2.921253 -2.851757
4030.0 1.365517 -3.100195 -2.98874
4040.0 1.354395 -2.796483 -0.99897
4050.0 1.140354 -2.715289 -2.857469
4060.0 0.949554 -3.005162 -0.732422
4070.0 0.676297 -3.088321 -2.894488
4080.0 1.167895 -3.103657 2.87499
4090.0 0.966549 -2.399749 -2.979803
4100.0 0.889548 3.067049 -3.087706
4110.0 0.84012 2.854016 -2.979787
4120.0 1.052177 -2.771694 -3.042397
4130.0 1.120626 3.09385 3.087752
4140.0 0.756111 -2.857838 -2.807884
4150.0 0.969971 -2.689731 -1.359079
4160.0 1.222927 -2.993911 -3.074297
4170.0 1.030204 -2.973655 -2.898447
4180.0 0.831715 3.065552 1.159099
4190.0 1.31016 -2.718221 -2.916657
4200.0 1.223999 -2.846567 -2.946038
4210.0 1.277231 -3.073203 -2.648888
4220.0 1.211515 2.965208 -2.627673
4230.0 1.075147 -2.917833 -2.808515
4240.0 1.16191 -2.941599 -2.861208
4250.0 1.078253 -2.889945 -2.983886
4260.0 1.601281 -3.076118 -2.976495
4270.0 0.879094 -2.895436 -2.898376
4280.0 1.012195 -2.871792 -2.885176
4290.0 1.107415 -3.126022 -3.041558
4300.0 1.115626 -2.941589 1.021161
4310.0 1.221815 -2.460214 -3.066055
4320.0 1.120898 2.363955 -3.114069
4330.0 1.256487 -3.08077 1.091977
4340.0 0.784767 2.716011 -0.714442
4350.0 0.673493 2.408494 -1.006746
4360.0 1.162887 -2.540304 -3.10034
4370.0 1.395884 3.063277 -1.038731
4380.0 0.947113 3.042743 -2.687322
4390.0 0.790679 3.082418 -3.063229
4400.0 1.169572 -2.840136 -2.950156
4410.0 0.937587 -3.028074 -3.125877
4420.0 0.966044 -2.980806 -3.114219
4430.0 1.211435 -2.893351 -1.111819
4440.0 1.289189 3.084508 -3.074623
4450.0 0.997277 -2.938864 -2.958797
4460.0 1.03657 2.949498 -3.020077
4470.0 0.79251 -3.056015 -0.67294
4480.0 0.852931 2.854807 -0.763707
4490.0 0.810574 2.943224 -1.182241
4500.0 1.123233 -2.503932 -0.944397
4510.0 0.953622 -2.888882 -1.223583
4520.0 1.116864 -2.998579 -3.074999
4530.0 0.933054 3.135463 -0.761045
4540.0 1.22193 -2.979401 -3.141343
4550.0 1.043854 -2.927111 1.425717
4560.0 0.836469 3.085406 -2.796559
4570.0 0.869773 -2.070306 -2.952282
4580.0 0.982766 -2.777334 -2.854912
4590.0 1.169061 -3.007163 1.265577
4600.0 1.181432 -2.874359 -2.998838
4610.0 1.499901 -3.052073 -0.945225
4620.0 1.250056 -2.87186 -2.899995
4630.0 1.037187 2.708446 -0.857943
4640.0 0.76003 -3.069735 -0.968942
4650.0 0.993497 -2.841398 -0.683296
4660.0 0.909504 -2.398753 2.960677
4670.0 0.71815 3.130293 1.204938
4680.0 0.774563 3.115636 -0.953349
4690.0 1.021963 -2.750822 1.213338
4700.0 0.967726 -2.549139 -2.969895
4710.0 1.265545 -2.424507 -3.084274
4720.0 0.902814 -3.063273 -2.863144
4730.0 0.965119 -2.834666 -2.981595
4740.0 1.045144 -2.900761 -0.991766
4750.0 1.103587 -2.991684 -1.172526
4760.0 0.982744 3.04243 -3.019968
4770.0 0.932233 -2.301234 -2.760178
4780.0 1.093746 -2.287757 -2.901384
4790.0 1.293951 -2.706464 -3.129686
4800.0 1.236691 -2.894695 -2.974655
4810.0 1.157505 -2.169441 -2.952689
4820.0 1.209505 -2.685606 -0.796888
4830.0 1.127267 -2.965434 -2.972609
4840.0 0.859079 -2.855343 -2.956309
4850.0 1.210203 3.120935 -0.959546
4860.0 1.036192 -2.894817 -3.035267
4870.0 1.261915 -2.905819 -1.033401
4880.0 1.230803 -2.633035 -1.075981
4890.0 0.832813 -3.121165 3.083672
4900.0 0.936711 3.088272 3.089018
4910.0 1.346739 -2.87716 2.934593
4920.0 1.025095 -2.932247 -2.806779
4930.0 1.037263 -2.708928 -3.071767
4940.0 0.918668 2.476122 -2.887213
4950.0 1.126471 3.098146 -2.978463
4960.0 1.091145 -2.920205 -2.911966
4970.0 1.091764 -2.770511 -2.993329
4980.0 1.199692 3.088105 3.105222
4990.0 0.81289 2.691012 2.948833
5000.0 1.305597 3.14119 2.947193
5010.0 1.150906 -2.726279 -3.051841
5020.0 1.050294 2.866641 -3.023807
5030.0 0.843169 3.11292 -2.917386
5040.0 0.875931 2.739255 -2.842253
5050.0 1.103639 -2.862679 -2.945064
5060.0 0.973534 -3.080754 -3.018011
5070.0 0.966202 -2.61277 -3.111556
5080.0 0.967958 -2.596707 3.080291
5090.0 1.034875 -2.911696 -2.820535
5100.0 1.037086 -3.060103 -1.050147
5110.0 0.957835 -2.636086 -1.072439
5120.0 1.143686 3.136598 1.041345
5130.0 0.996421 -2.809463 1.164717
5140.0 0.822005 -2.742439 -2.951543
5150.0 1.159794 -2.774847 -2.809174
5160.0 1.047952 2.940875 3.115592
5170.0 1.281147 -2.860846 0.881842
5180.0 1.247255 2.851577 1.040486
5190.0 1.329133 -2.974078 -2.835723
5200.0 1.354606 2.812463 -2.78019
5210.0 0.84291 -3.030362 -2.9022
5220.0 1.034429 -2.890959 -3.101086
5230.0 0.848409 2.766547 -3.038393
5240.0 0.791655 2.870602 -2.882698
5250.0 0.945286 -2.81211 -3.111115
5260.0 1.075428 -2.780379 -3.105793
5270.0 1.356089 3.122024 -2.982653
5280.0 1.061072 2.751161 -2.977264
5290.0 1.306557 -3.089679 -3.133898
5300.0 1.49496 2.897948 -2.863482
5310.0 1.270742 -2.921261 0.886466
5320.0 1.108724 -2.752997 3.1321
5330.0 1.07288 -2.714166 -3.047094
5340.0 1.074315 -2.346657 -2.98575
5350.0 1.140988 -2.49328 -2.83089
5360.0 1.003529 3.011759 3.066194
5370.0 1.007825 -2.991185 -3.115496
5380.0 0.890713 -2.86506 -3.012272
5390.0 0.996956 -3.074276 -2.662431
5400.0 0.868097 -2.631646 3.000552
5410.0 0.781915 3.019902 -2.964783
5420.0 1.018724 3.089764 -3.046743
5430.0 1.101588 -3.137762 -2.84833
5440.0 1.185969 -3.085675 -3.009194
5450.0 0.942638 3.090929 -2.798202
5460.0 1.098614 -2.781623 -2.923467
5470.0 0.883271 -3.092964 -3.060535
5480.0 1.014064 -3.076797 -2.946506
5490.0 1.318117 -3.079946 -2.901653
5500.0 1.389278 -2.953824 2.986051
5510.0 1.084166 -3.114512 2.992987
5520.0 1.236576 -2.936607 -3.031693
5530.0 1.191757 2.567773 -2.995506
5540.0 1.064838 -2.762058 -2.793762
5550.0 0.931977 3.08269 -2.861713
5560.0 1.099206 -3.12317 1.072405
5570.0 1.237145 -2.985099 -2.889155
5580.0 0.811013 -2.747922 -2.983314
5590.0 1.177446 -2.142593 -1.1566
5600.0 1.007351 -3.018004 -2.812424
5610.0 1.13068 -2.978204 -2.932922
5620.0 0.806725 3.014766 1.145344
5630.0 1.10548 -2.873884 -3.02469
5640.0 1.148773 -2.922136 -3.080965
5650.0 1.210713 -3.108468 -2.879107
5660.0 1.311547 -2.715241 2.975671
5670.0 1.044319 -3.102694 -2.982498
5680.0 0.914698 -3.101428 -2.870429
5690.0 1.262115 -2.958118 3.099871
5700.0 1.244845 -2.843878 -2.818903
5710.0 0.695132 -3.10352 -2.715224
5720.0 1.075315 -2.775249 3.087527
5730.0 1.157141 -2.797234 -3.123653
5740.0 1.122681 -3.086439 -2.858992
5750.0 1.177142 -2.936654 -2.97713
5760.0 0.86146 -2.742087 -2.818887
5770.0 1.194209 -3.084461 -2.822581
5780.0 1.175769 -2.879043 3.087098
5790.0 1.047531 -2.932711 -2.992019
5800.0 1.2555 -2.894272 -3.006679
5810.0 0.895194 3.139628 -3.072379
5820.0 1.298817 -2.977379 -2.987726
5830.0 0.828698 2.61881 3.074656
5840.0 1.222842 -3.109416 3.070044
5850.0 1.148633 3.064008 -2.816896
5860.0 1.016198 -3.023429 -2.952664
5870.0 1.001225 2.931946 -0.810071
5880.0 1.024386 -2.787021 -3.042897
5890.0 0.952676 -2.943208 3.083975
5900.0 1.0395 -2.898078 3.04709
5910.0 1.106733 3.084738 -3.00477
5920.0 0.829546 -3.018093 -2.943819
5930.0 1.008822 2.864782 -2.94147
5940.0 1.304581 -2.824926 -2.703622
5950.0 1.08319 -2.897478 3.033943
5960.0 0.961663 -2.720435 -3.093287
5970.0 1.089641 -2.901387 -3.114174
5980.0 1.030671 -3.086822 -1.124048
5990.0 0.963405 -2.774205 3.002594
6000.0 0.981831 -3.121015 3.033363
6010.0 0.729397 3.004172 -1.029684
6020.0 1.035361 -2.841916 -2.792422
6030.0 0.839866 -3.080625 -3.094803
6040.0 1.46602 -2.785813 -1.010952
6050.0 1.005915 -3.105463 -3.114282
6060.0 0.872392 -3.095316 -3.077689
6070.0 0.992893 -2.832659 2.952333
6080.0 0.750801 2.83434 -0.686459
6090.0 1.052036 2.783561 -0.824461
6100.0 0.810375 -2.815707 -3.029233
6110.0 0.95454 -2.615649 -1.028965
6120.0 1.169229 -2.832206 -0.762505
6130.0 1.087402 -2.594389 -0.913487
6140.0 1.032029 -2.461477 -0.782741
6150.0 1.19048 3.135511 -0.74589
6160.0 0.970756 -2.712904 -2.940706
6170.0 0.950122 -3.021533 -0.818412
6180.0 1.178807 -3.100146 -1.185
6190.0 0.740666 3.039116 -3.108671
6200.0 0.902677 3.106761 -3.047691
6210.0 0.852713 -2.93895 -1.126827
6220.0 1.239299 3.116222 -2.834139
6230.0 1.40358 -2.960993 3.061574
6240.0 1.033978 -2.867791 -2.807432
6250.0 0.994132 2.59297 -0.798753
6260.0 0.968133 -2.972361 1.02539
6270.0 1.007959 -3.10025 1.45694
6280.0 1.332407 -3.103985 -2.834932
6290.0 1.160806 2.667223 -2.89646
6300.0 1.163404 -3.088216 -2.982783
6310.0 0.967385 2.908783 -0.577025
6320.0 0.909379 2.861954 -0.861173
6330.0 0.995735 2.830004 -0.836973
6340.0 1.155567 3.117677 -3.025846
6350.0 1.114217 3.088157 -2.721338
6360.0 1.222172 -2.557313 -3.112866
6370.0 1.066193 -2.970882 -2.909416
6380.0 1.310131 -2.971904 3.120665
6390.0 0.882298 -3.015095 0.982602
6400.0 1.113114 -2.792821 0.973117
6410.0 0.744898 -3.100689 2.948618
6420.0 1.167139 -2.723359 -2.906031
6430.0 0.997963 -2.996092 -3.0267
6440.0 1.035927 -2.917518 3.082052
6450.0 1.210527 -2.691045 -3.028989
6460.0 0.987369 -3.078513 3.090912
6470.0 0.763104 -2.833646 -2.909133
6480.0 1.04826 -2.697163 3.067904
6490.0 0.90495 -2.965326 3.061094
6500.0 1.136347 -2.89091 3.119114
