time phi1_2 psi1_2 omega1_2
3910.0 -1.113404 2.942913 -3.026608
3920.0 -1.527336 -2.84994 -3.089811
3930.0 -1.25639 -2.838713 -3.018477
3940.0 -1.237579 3.138143 -2.967353
3950.0 -1.251255 -2.789848 2.828061
3960.0 -1.286904 -3.007529 -3.079673
3970.0 -1.124046 -0.937268 -1.210463
3980.0 -1.368379 2.820147 2.842576
3990.0 -1.276525 2.688512 3.036546
4000.0 -1.398508 2.845297 -3.08853
4010.0 -1.414518 2.990412 2.950545
4020.0 -1.731346 -2.95998 -3.024492
4030.0 -1.147898 -1.772966 -3.110301
4040.0 -1.611693 -2.657106 -2.905984
4050.0 -1.35847 3.09108 -3.049346
4060.0 -1.335345 -3.021438 -2.954803
4070.0 -1.450168 2.967395 -2.985825
4080.0 -1.285821 -2.99732 -3.131848
4090.0 -1.465646 3.053466 -2.96936
4100.0 -1.14803 -3.139338 -2.884979
4110.0 -1.309297 3.086236 -3.068271
4120.0 -1.359335 -3.120027 -3.084964
4130.0 -1.113913 -2.827476 2.99495
4140.0 -1.248825 -1.505139 -2.894299
4150.0 -1.136308 2.904258 -3.002173
4160.0 -1.482338 2.915604 -3.039982
4170.0 -1.44983 2.982532 -2.775693
4180.0 -1.109832 1.715089 3.083733
4190.0 -1.098984 2.956799 -3.002157
4200.0 -1.39432 -2.825384 -2.889251
4210.0 -1.3186 -1.698107 -0.858113
4220.0 -1.203438 -1.782964 -3.124584
4230.0 -1.123589 1.904827 3.11161
4240.0 -1.014736 1.839833 -3.077496
4250.0 -0.952949 -2.875952 -0.970394
4260.0 -1.243524 2.962248 -2.943705
4270.0 -1.146633 -1.774995 -1.126837
4280.0 -1.45052 -3.041008 -2.902119
4290.0 -1.316434 3.047426 -2.904073
4300.0 -1.207725 2.852707 -2.982262
4310.0 -1.311287 2.825211 -2.935569
4320.0 -1.052954 3.095037 3.109212
4330.0 -1.607955 -2.973935 -2.964178
4340.0 -1.552709 -3.071624 2.861567
4350.0 -1.210639 -3.052153 2.953552
4360.0 -1.118406 -3.138266 -2.802449
4370.0 -0.936793 -0.920348 3.094665
4380.0 -1.519354 -3.023647 -3.020252
4390.0 -1.091683 3.029855 -3.097255
4400.0 -1.32986 -2.923204 3.056109
4410.0 -1.181949 2.947209 -3.011383
4420.0 -1.228812 3.132461 -2.814065
4430.0 -1.250581 -3.028345 -3.004965
4440.0 -1.151114 -2.990288 -3.014836
4450.0 -1.375657 -3.106578 -3.035916
4460.0 -1.59191 2.882413 -2.89632
4470.0 -1.543269 2.828425 -2.681693
4480.0 -1.447732 -2.991231 -3.132472
4490.0 -1.096093 2.999301 -3.032554
4500.0 -1.451981 -2.916001 -3.033259
4510.0 -0.957029 3.105631 3.078975
4520.0 -1.2923 -3.133152 -2.877901
4530.0 -1.168694 -2.958933 -2.982794
4540.0 -1.22749 3.129715 -2.899383
4550.0 -1.146944 -3.123699 -2.991996
4560.0 -1.023701 3.094386 -3.039073
4570.0 -1.247972 2.758033 -2.768057
4580.0 -1.230719 -2.815847 3.045735
4590.0 -1.484639 -3.031012 -2.915803
4600.0 -1.243917 -2.780011 -3.057776
4610.0 -1.925161 1.325622 -2.930984
4620.0 -1.090688 -2.987466 -3.061027
4630.0 -1.207318 3.017956 -3.020042
4640.0 -1.496628 -2.897973 -2.972426
4650.0 -1.269806 2.990645 -3.013354
4660.0 -1.296613 2.950307 -2.785599
4670.0 -1.193623 -2.907152 -3.102755
4680.0 -1.121367 -2.969234 -3.017755
4690.0 -0.977853 -2.949814 -2.597875
4700.0 -1.413366 -3.111934 -2.791377
4710.0 -1.158935 -2.887634 -2.883698
4720.0 -1.289971 -2.969316 -2.80813
4730.0 -1.432413 3.108379 -3.089811
4740.0 -1.07938 3.111952 -3.012634
4750.0 -1.184765 -3.05064 -3.03252
4760.0 -1.431848 3.031609 -2.656464
4770.0 -1.192037 -2.825602 -2.885719
4780.0 -1.257822 1.730818 3.118183
4790.0 -1.240604 -2.967706 -3.058378
4800.0 -1.309055 3.109825 -2.900877
4810.0 -1.267742 -3.114347 3.020184
4820.0 -1.354268 2.989405 -2.901537
4830.0 -1.033326 -3.107002 -3.122099
4840.0 -1.473095 -2.860331 -2.936769
4850.0 -1.370646 2.894089 2.991533
4860.0 -1.281929 -3.012378 -2.984817
4870.0 -0.957049 -2.962228 2.981449
4880.0 -1.079168 2.818503 3.062647
4890.0 -1.290883 -2.962703 -3.103673
4900.0 -1.368621 2.889423 3.115828
4910.0 -1.294779 2.721098 -2.874506
4920.0 -0.955873 -3.111304 3.134258
4930.0 -1.385464 -2.728987 -2.95673
4940.0 -1.365473 -2.896556 -3.052095
4950.0 -1.603086 -2.813731 -3.086309
4960.0 -1.462035 -2.990427 -2.865788
4970.0 -1.791538 -2.997914 -2.890939
4980.0 -1.270259 -3.1368 -3.039929
4990.0 -1.202635 -2.805297 -2.909353
5000.0 -1.313524 -3.052255 3.110484
5010.0 -1.588492 -2.638089 -3.016128
5020.0 -1.440591 3.043872 -3.016298
5030.0 -1.50108 -2.913443 -2.885817
5040.0 -1.418106 3.108053 -3.073793
5050.0 -1.773737 3.113419 -3.019223
5060.0 -1.368456 3.056602 3.07944
5070.0 -1.21104 -2.633442 3.046001
5080.0 -1.20486 2.688347 -3.058418
5090.0 -1.363979 -2.713996 -2.928726
5100.0 -1.211302 3.030344 3.076924
5110.0 -1.216966 -2.691442 -3.069529
5120.0 -1.48285 -3.115142 -2.982971
5130.0 -1.019801 -3.00216 1.20658
5140.0 -1.500774 -3.112229 2.958226
5150.0 -1.215311 -2.968546 -3.010795
5160.0 -1.24263 2.985871 0.980163
5170.0 -1.077007 -1.821772 -3.025418
5180.0 -1.05716 -2.901403 2.986694
5190.0 -1.101882 2.006454 -2.918969
5200.0 -1.296896 3.104328 -2.893752
5210.0 -1.328395 2.88387 -3.057139
5220.0 -0.959901 -2.824932 -2.742873
5230.0 -1.238148 -2.951474 1.235094
5240.0 -1.16705 2.728307 -3.077651
5250.0 -1.37044 1.780303 -3.088332
5260.0 -1.477904 -3.032705 -2.946683
5270.0 -1.370241 3.122292 -2.761465
5280.0 -1.398284 3.016395 -3.03306
5290.0 -1.248651 3.130725 2.937936
5300.0 -1.101895 3.075045 -2.917867
5310.0 -1.173355 -3.133587 -2.955564
5320.0 -1.146307 -3.100127 -3.110781
5330.0 -1.332529 -2.962053 -3.097711
5340.0 -1.035842 -3.090911 -2.825918
5350.0 -0.890339 -2.76941 2.83925
5360.0 -1.124507 -3.112025 1.240587
5370.0 -1.488001 -3.114808 -2.835336
5380.0 -1.130097 -3.029424 -3.08166
5390.0 -1.251193 -2.935872 -3.038169
5400.0 -1.169278 -3.035835 -3.073469
5410.0 -1.102231 -2.817204 -3.041118
5420.0 -1.262146 -2.918393 3.045262
5430.0 -1.109036 -2.934517 3.063327
5440.0 -1.383888 -2.976452 -2.706136
5450.0 -1.21826 2.721839 3.024274
5460.0 -1.423461 -2.773977 -3.09134
5470.0 -1.57668 -2.917908 3.045851
5480.0 -1.323097 -2.915195 -2.965053
5490.0 -1.326465 2.694341 -2.986212
5500.0 -1.744718 -2.653818 -3.06677
5510.0 -1.033514 2.945254 3.098029
5520.0 -1.092715 -3.001836 -3.112274
5530.0 -0.780367 2.711737 -3.092877
5540.0 -1.425145 2.754959 -2.853473
5550.0 -1.095987 1.872402 -3.101433
5560.0 -1.412898 -3.131486 3.043567
5570.0 -1.418483 2.990647 -2.950967
5580.0 -1.362887 -2.382549 -0.74742
