time phi1_2 psi1_2 phi2_3 psi2_3 phi3_4 psi3_4 omega3_4
1490.0 -1.921517 1.385799 -1.311737 1.816107 1.154337 -3.096055 0.886414
1500.0 -1.07419 1.763311 -1.487391 1.619357 1.0749 2.483141 -3.035082
1510.0 -1.285017 -1.081318 -1.011865 2.159075 1.319809 -2.973759 1.289474
1520.0 -1.372011 1.850947 0.922983 2.182843 1.719365 -2.79704 1.052218
1530.0 -1.040399 -0.649677 -1.435678 2.124308 1.234352 2.563018 0.721803
1540.0 -0.923867 -0.678289 -0.890035 1.864861 1.012154 2.695258 1.071537
1550.0 -1.415073 1.296165 -1.433522 1.590699 1.031122 -2.947694 0.849379
1560.0 -1.119447 2.179434 -1.930912 1.370748 0.803682 2.880651 3.133243
1570.0 -1.865697 1.143741 -1.693816 1.753938 1.145856 -3.071007 1.069234
1580.0 -1.419944 1.828323 -1.498387 1.27895 1.39751 -3.002333 0.963655
1590.0 -0.95115 -0.828486 -1.23945 2.171596 1.357827 -2.927916 0.988423
1600.0 -0.750393 -0.655773 -1.501833 2.103722 1.118084 -2.879881 1.098036
1610.0 -1.641126 1.009 -1.253382 1.92041 1.171804 -2.983291 1.239567
1620.0 -1.76682 0.948465 -1.315479 1.618984 0.984033 3.038703 0.939546
1630.0 -1.481742 -0.390112 -1.08012 1.844063 1.064934 3.006964 0.917382
1640.0 -1.267234 -0.567974 -1.139208 1.970377 1.14881 -2.901468 1.09131
1650.0 -1.006247 2.093203 -1.214872 2.141257 1.493928 1.336679 -3.141115
1660.0 -1.322239 2.089787 -1.013516 1.929909 1.252486 1.303545 2.838318
1670.0 -1.129184 -0.554021 -0.50227 1.79154 1.269771 2.60513 1.030754
1680.0 -1.636886 1.646476 -1.180024 2.011825 1.366873 1.31933 2.762419
1690.0 -1.167168 1.904122 -1.519732 1.61994 1.13425 1.262273 3.080853
1700.0 -1.582291 1.512737 -1.448676 2.192524 1.848678 1.360152 -3.05627
1710.0 -1.445411 1.789016 -1.012276 2.247711 1.01526 0.843665 2.995268
1720.0 -0.95034 1.860123 -0.646353 2.461876 0.944389 -3.054647 0.858235
1730.0 -1.040641 -0.629948 -1.061612 2.243828 1.227778 2.999618 0.634782
1740.0 -1.455773 1.522463 -1.651578 1.714799 0.983841 -3.006489 1.580421
1750.0 -2.18456 1.433228 -1.22754 1.987688 1.225467 3.058677 0.682865
1760.0 -1.314146 2.235293 -1.308315 2.196529 1.061082 -3.027795 -2.895331
1770.0 -1.525038 1.376021 -1.505619 1.491377 1.001726 2.987833 0.948782
1780.0 -1.385729 1.867612 -1.342045 1.583908 0.996839 1.354373 0.831306
1790.0 -1.149311 2.082332 -1.148337 1.895118 0.962106 -3.085126 3.022232
1800.0 -1.45826 1.833523 -1.506962 1.873365 0.971801 1.077415 0.916598
1810.0 -0.976362 1.937003 -1.412049 2.145874 0.860743 -3.069067 -2.865867
1820.0 -1.240498 2.321857 -1.257108 2.120979 1.187746 -3.044466 2.953267
1830.0 -1.199113 2.139516 -0.98994 2.03415 0.918038 2.729595 3.055732
1840.0 -1.154402 1.883352 -1.235588 1.525918 0.984721 1.130835 0.676639
1850.0 -1.266598 2.186705 -1.495141 1.79862 1.13151 2.976747 3.062203
1860.0 -1.29359 1.812085 -1.265332 1.899016 0.858631 1.220434 0.785374
1870.0 -1.338148 -1.31945 -1.061835 1.761345 1.088337 2.716874 -3.107633
1880.0 -1.132664 1.985044 -1.636331 1.218997 1.318844 -2.951773 -2.991485
1890.0 -1.085612 2.068664 -1.443856 1.920042 1.005086 1.079787 0.813842
1900.0 -1.266424 2.006694 -1.73634 1.22642 1.186984 -2.938012 -3.004123
1910.0 -1.619887 1.26309 -1.989071 1.649621 1.454801 -3.100606 0.978422
1920.0 -1.657008 1.386745 -2.034151 1.3954 1.280681 -3.05707 0.883012
1930.0 -1.474558 1.597936 -1.184905 0.523094 1.038325 -2.980182 1.028513
1940.0 -1.620538 -1.287866 -0.80398 1.911551 0.855413 -3.127736 3.04941
1950.0 -1.532088 1.586389 -1.455975 1.945403 0.99171 -2.83048 0.860942
1960.0 -1.567066 2.211171 -1.484371 2.070209 1.547851 -3.050153 0.847875
1970.0 -1.561415 -1.221973 -1.568449 2.016835 1.077707 -2.956842 3.130499
1980.0 -1.433776 -1.191134 -1.452352 1.83879 1.140976 2.569535 -2.9115
1990.0 -1.540098 -1.264724 -1.28123 2.059757 1.009252 -3.090938 3.019877
2000.0 -1.591436 -1.217005 -1.210645 1.924603 0.887928 2.975354 3.139004
2010.0 -0.931223 2.452908 -1.304457 2.182421 1.023891 -2.71061 0.951192
2020.0 -1.498801 0.770723 -1.601086 1.3171 1.278712 -3.059729 1.135659
2030.0 -1.20219 1.743478 -1.10582 1.848265 1.165362 -2.887461 0.91792
2040.0 -1.563301 0.630643 -1.717627 1.435758 1.239101 -3.099002 0.988245
2050.0 -1.378194 -1.244247 -1.588777 0.92432 1.439776 -3.075717 0.794323
2060.0 -1.601015 1.276481 -1.553023 2.364128 0.867953 -2.999342 1.35443
2070.0 -1.700175 1.455008 -1.466408 0.883892 1.33127 -2.986493 1.19162
2080.0 -1.532715 1.608812 -1.598811 1.338447 1.300323 3.06586 1.181911
2090.0 -1.68459 1.253083 -1.786493 1.466794 1.345687 -3.121922 0.957914
2100.0 -1.586457 1.563693 -1.213875 1.784959 1.347895 -2.973758 1.089357
2110.0 -1.801462 1.470006 -1.223843 2.109217 0.996504 -3.115056 0.969755
2120.0 -1.495406 1.962246 -1.445847 1.856653 1.144561 3.130552 0.89054
2130.0 -1.579134 1.663753 -1.144395 1.946243 1.064251 3.133765 1.103198
2140.0 -1.392992 1.477876 -1.254965 2.095581 1.401244 -2.929683 0.77566
2150.0 -1.65715 0.796713 -2.023967 1.773505 1.404918 -2.906078 1.047082
2160.0 -1.429123 1.470762 -1.448684 2.117533 1.001834 3.069087 0.991411
2170.0 -0.977572 -0.456429 -1.578024 1.793046 1.095079 3.094226 0.973375
2180.0 -1.24057 2.04671 -1.48765 1.699051 0.892808 3.046243 1.127273
2190.0 -1.474312 1.025189 -1.346534 1.834626 1.428194 -3.004241 0.77208
2200.0 -1.453046 0.784519 -1.224623 2.143212 0.991196 -2.939378 1.204256
